reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
12,1,382.96,10782.91,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",MICG,PR12_0.5_01_MICG
12,2,390,11638,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",MICG,PR12_0.5_02_MICG
12,1,384.13,10761.04,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,MICG,PR12_1_01_MICG
12,2,365,10122,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,MICG,PR12_1_02_MICG
12,1,432.08,12026.25,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),MICG,PR12_2_01_MICG
12,2,404,12136,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),MICG,PR12_2_02_MICG
12,1,392.56,9830,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),MICG,
12,2,337.44,8670,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),MICG,
12,1,388.96,1140,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,MICG,
12,2,390,1059,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,MICG,
12,1,365.11,1128,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,MICG,
12,2,368,1042,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,MICG,
12,1,341.63,1024,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,MICG,
12,2,357.63,1017,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,MICG,
,,,,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,MICG,
