reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
19,3,140,1530,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
19,1,117,1800,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
19,2,139,1420,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
19,3,134,1390,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
19,1,126,1440,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
19,2,120,1380,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
19,3,123,1290,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
19,1,131,1420,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
19,2,126,1140,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
19,3,120,1210,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
